Rank,NetWorth($B),Age,Country,City,Industries,Self Made,Gender,Last Name,First Name,Birth Year,CPI Index,CPI Change,Country GDP,Country tertiary education enrollment,Country primary education enrollment,Country life expectancy,Population of country,Number of Billionaires,NumberOfBillionaires_x,NumberOfBillionaires_y
1368,2.2,55,China,Ningde,Energy,True,M,Wu,Kai,1968,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1368,2.2,55,China,Guangzhou,Food & Beverage,True,M,Xu,Yingzhuo,1968,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1368,2.2,57,China,Shanghai,Logistics,True,M,Yu,Huijiao,1966,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1368,2.2,58,United States,Los Altos,Finance & Investments,True,M,Zeev,Oren,1964,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1368,2.2,54,Canada,Windsor,Manufacturing,False,M,Zekelman,Clayton,1969,116.76,1.9,1736425629520,68.9%,100.9%,81.9,36991981,2476,42,42
1368,2.2,57,China,Ningde,Energy,True,M,Zhao,Fenggang,1966,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1434,2.1,55,United Kingdom,London,Metals & Mining,True,M,Beard,Alex,1967,119.62,1.7,2827113184696,60.0%,101.2%,81.3,66834405,2476,82,82
1434,2.1,52,United States,Grants Pass,Food & Beverage,True,M,Boersma,Travis,1971,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1434,2.1,64,France,Paris,Construction & Engineering,False,M,Bouygues,Martin,0,110.05,1.1,2715518274227,65.6%,102.5%,82.5,67059887,2476,35,35
1434,2.1,91,United States,Las Vegas,Gambling & Casinos,True,M,Boyd,William,1931,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1434,2.1,70,India,Delhi,Food & Beverage,False,M,Burman,Anand,1952,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
1434,2.1,71,China,Hangzhou,Manufacturing,True,M,Cao,Ji,1952,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1434,2.1,52,China,Beijing,Technology,False,M,Chi,Yufeng,1971,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1434,2.1,82,Switzerland,Zurich,Healthcare,True,M,Diethelm,Beda,1941,99.55,0.4,703082435360,59.6%,105.2%,83.6,8574832,2476,78,78
1434,2.1,64,Italy,Milan,Fashion & Retail,True,M,Dolce,Domenico,1958,110.62,0.6,2001244392042,61.9%,101.9%,82.9,60297396,2476,55,55
1434,2.1,59,Germany,Montabaur,Technology,True,M,Dommermuth,Ralph,1963,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
1434,2.1,50,United Kingdom,London,Diversified,True,M,Domuschiev,Georgi,1972,119.62,1.7,2827113184696,60.0%,101.2%,81.3,66834405,2476,82,82
1434,2.1,53,United Kingdom,London,Diversified,True,M,Domuschiev,Kiril,1969,119.62,1.7,2827113184696,60.0%,101.2%,81.3,66834405,2476,82,82
1434,2.1,78,Australia,Surfers Paradise,Real Estate,True,M,Ell,Bob,1944,119.8,1.6,1392680589329,113.1%,100.3%,82.7,25766605,2476,43,43
1434,2.1,65,United States,El Paso,Energy,True,M,Foster,Paul,1957,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1434,2.1,60,Italy,Milan,Fashion & Retail,True,M,Gabbana,Stefano,1962,110.62,0.6,2001244392042,61.9%,101.9%,82.9,60297396,2476,55,55
1434,2.1,59,China,Huzhou,Manufacturing,True,M,Gao,Xingjiang,1963,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1434,2.1,89,United States,San Francisco,Energy,False,M,Getty,Gordon,1933,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1434,2.1,64,United States,Naples,Energy,True,M,Ghaffarian,Kamal,1958,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1434,2.1,78,United States,Durham,Healthcare,True,M,Gillings,Dennis,1944,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1434,2.1,65,India,Mumbai,Diversified,False,M,Goenka,Harsh,1957,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
1434,2.1,62,India,Kolkata,Diversified,False,M,Goenka,Sanjiv,1961,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
1434,2.1,67,United States,New York,Real Estate,False,F,Goldman,Jane,1955,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1434,2.1,66,Norway,Oslo,Fashion & Retail,True,M,Hagen,Stein Erik,1956,120.27,2.2,403336363636,82.0%,100.3%,82.8,5347896,2476,9,9
1434,2.1,56,Switzerland,Geneva,Real Estate,False,M,Hariri,Bahaa,1966,99.55,0.4,703082435360,59.6%,105.2%,83.6,8574832,2476,78,78
1434,2.1,72,Spain,Valencia,Fashion & Retail,False,F,Herrero,Hortensia,1950,110.96,0.7,1394116310769,88.9%,102.7%,83.3,47076781,2476,25,25
1434,2.1,49,China,Suzhou,Manufacturing,True,M,Huang,Min,1973,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1434,2.1,40,United States,Easton,Technology,True,M,Isaacman,Jared,1983,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1434,2.1,57,Russia,Moscow,Technology,True,M,Kaspersky,Eugene,1965,180.75,4.5,1699876578871,81.9%,102.6%,72.7,144373535,2476,79,79
1434,2.1,48,Cyprus,Limassol,Fashion & Retail,True,M,Khachatryan,Artem,1975,102.51,0.3,24564647935,75.9%,99.3%,80.8,1198575,2476,5,5
1434,2.1,47,Russia,Moscow,Food & Beverage,True,M,Krivenko,Andrei,1975,180.75,4.5,1699876578871,81.9%,102.6%,72.7,144373535,2476,79,79
1434,2.1,62,United States,New York,Finance & Investments,True,M,Lasry,Marc,1960,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1434,2.1,82,France,Lyon,Finance & Investments,True,M,Latouche,Christian,1940,110.05,1.1,2715518274227,65.6%,102.5%,82.5,67059887,2476,35,35
1434,2.1,67,United States,Bethesda,Sports,True,M,Leonsis,Theodore,1956,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1434,2.1,60,China,Shenzhen,Manufacturing,True,M,Liu,Chengyu,1962,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1434,2.1,49,Cyprus,Paphos,Fashion & Retail,True,M,Lomakin,Sergey,1973,102.51,0.3,24564647935,75.9%,99.3%,80.8,1198575,2476,5,5
1434,2.1,54,United States,New York,Food & Beverage,True,M,Lubetzky,Daniel,1968,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1434,2.1,64,China,Beijing,Technology,True,F,Ma,Melissa,0,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1434,2.1,67,India,Mumbai,Diversified,False,M,Mahindra,Anand,1955,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
1434,2.1,72,India,Mumbai,Fashion & Retail,False,M,Malik,Rafique,1950,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
1434,2.1,41,Sweden,Stockholm,Diversified,False,F,Martinson,Katarina,1981,110.51,1.8,530832908738,67.0%,126.6%,82.5,10285453,2476,26,26
1434,2.1,70,India,Bangalore,Healthcare,True,F,Mazumdar-Shaw,Kiran,1953,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
1434,2.1,65,India,Gurgaon,Automotive,False,M,Minda,Nirmal,1957,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
1434,2.1,43,China,Beijing,Technology,True,M,Mu,Rongjun,1980,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1434,2.1,60,Russia,Moscow,Finance & Investments,True,M,Nesis,Alexander,1962,180.75,4.5,1699876578871,81.9%,102.6%,72.7,144373535,2476,79,79
1434,2.1,66,China,Suzhou,Manufacturing,True,M,Ni,Zugen,1957,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1434,2.1,76,Spain,Madrid,Construction & Engineering,True,M,Perez,Florentino,1947,110.96,0.7,1394116310769,88.9%,102.7%,83.3,47076781,2476,25,25
1434,2.1,62,Ukraine,Kiev,Metals & Mining,True,M,Pinchuk,Victor,1960,281.66,7.9,153781069118,82.7%,99.0%,71.6,44385155,2476,6,6
1434,2.1,40,United States,Unknown,Technology,True,M,Radvinsky,Leonid,1982,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1434,2.1,41,India,Bangalore,Technology,True,M,Raveendran,Byju,1981,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
1434,2.1,65,India,Hyderabad,Construction & Engineering,True,M,Reddy,P.P.,1957,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
1434,2.1,41,United States,Los Angeles,Fashion & Retail,True,M,Saghian,Richard,1981,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1434,2.1,49,China,Beijing,Healthcare,True,M,Shi,Yifeng,1974,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1434,2.1,73,United Arab Emirates,Dubai,Finance & Investments,True,M,Shinawatra,Thaksin,1949,114.52,-1.9,421142267938,36.8%,108.4%,77.8,9770529,2476,17,17
1434,2.1,53,Singapore,Singapore,Food & Beverage,True,F,Shu,Ping,0,114.41,0.6,372062527489,84.8%,100.6%,83.1,5703569,2476,46,46
1434,2.1,75,United States,Chestnut Hill,Healthcare,True,M,Springer,Timothy,1948,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1434,2.1,70,India,Chennai,Automotive,False,M,Srinivasan,Venu,1952,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
1434,2.1,68,United States,Sewickley,Fashion & Retail,True,M,Stack,Edward,1954,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1434,2.1,73,China,Yantai,Food & Beverage,True,M,Sun,Mengquan,1950,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1434,2.1,55,Russia,Moscow,Finance & Investments,True,M,Svetakov,Alexander,1968,180.75,4.5,1699876578871,81.9%,102.6%,72.7,144373535,2476,79,79
1434,2.1,56,Germany,Krefeld,Fashion & Retail,True,M,Toeller,Torsten,1966,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
1434,2.1,74,United States,Fayetteville,Food & Beverage,False,F,Tyson,Barbara,1949,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1434,2.1,50,United States,Norwich,Food & Beverage,True,M,Ulukaya,Hamdi,1972,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1434,2.1,54,China,Beijing,Construction & Engineering,True,M,Wang,Linpeng,1968,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1434,2.1,69,China,Tianjin,Food & Beverage,True,M,Wei,Ing-Chou,1953,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1434,2.1,64,China,Shanghai,Food & Beverage,True,M,Wei,Yin-Heng,1959,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1434,2.1,80,United States,Las Vegas,Gambling & Casinos,True,F,Wynn,Elaine,1942,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1434,2.1,53,China,Ningbo,Automotive,True,M,Xu,Xudong,1970,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1434,2.1,57,China,Ningbo,Manufacturing,True,M,Yu,Qibing,1965,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1434,2.1,72,China,Suzhou,Manufacturing,True,M,Yuan,Fugen,1950,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1434,2.1,49,China,Shanghai,Manufacturing,True,F,Zhang,Ning,1974,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1434,2.1,57,China,Xi'an,Healthcare,False,M,Zhao,Tao,1966,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1516,2.0,80,India,Pune,Construction & Engineering,False,F,Aga,Anu,1942,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
1516,2.0,94,United Kingdom,London,Fashion & Retail,True,M,Al Fayed,Mohamed,1929,119.62,1.7,2827113184696,60.0%,101.2%,81.3,66834405,2476,82,82
1516,2.0,49,United Kingdom,London,Technology,True,M,Andreev,Andrey,1974,119.62,1.7,2827113184696,60.0%,101.2%,81.3,66834405,2476,82,82
1516,2.0,62,Czech Republic,Prague,Technology,True,M,Baudis,Pavel,1960,116.48,2.8,246489245495,64.1%,100.7%,79.0,10669709,2476,7,7
1516,2.0,66,Germany,Unknown,Healthcare,True,M,Beier,Wilhelm,1956,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
1516,2.0,44,China,Shangyu,Manufacturing,True,M,Cao,Jianwei,1978,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1516,2.0,52,China,Shanghai,Manufacturing,True,M,Chen,Huwen,1970,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1516,2.0,71,Thailand,Bangkok,Diversified,False,M,Chiaravanont,Phongthep,1952,113.27,0.7,543649976166,49.3%,99.8%,76.9,69625582,2476,28,28
1516,2.0,69,China,Hangzhou,Diversified,True,M,Dou,Zhenggang,1953,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1516,2.0,88,Monaco,Monaco,Food & Beverage,False,F,Fissolo,Maria Franca,1935,0.0,0.0,7184844193,0.0%,0.0%,0.0,38964,2476,17,17
1516,2.0,85,United States,Houston,Diversified,True,M,Franke,William,1937,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1516,2.0,51,Monaco,Monaco,Healthcare,False,M,Giuliani,Mario Germano,1972,0.0,0.0,7184844193,0.0%,0.0%,0.0,38964,2476,17,17
1516,2.0,68,United States,Rhinebeck,Real Estate,False,F,Goldman Fowler,Amy,1954,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1516,2.0,47,United Kingdom,London,Metals & Mining,False,M,Hancock,John,1976,119.62,1.7,2827113184696,60.0%,101.2%,81.3,66834405,2476,82,82
1516,2.0,58,China,Hangzhou,Technology,True,M,Hu,Yangzhong,1965,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1516,2.0,64,China,Hangzhou,Media & Entertainment,True,M,Huang,Qiaoling,1958,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1516,2.0,55,United States,Fort Lauderdale,Finance & Investments,True,M,Jain,Rajiv,1968,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1516,2.0,60,United States,Jupiter,Sports,True,M,Jordan,Michael,1963,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1516,2.0,77,United States,New York,Real Estate,False,F,Kemper,Diane,1945,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1516,2.0,57,Israel,Tel Aviv,Technology,True,M,Kramer,Shlomo,1966,108.15,0.8,395098666122,63.4%,104.9%,82.8,9053300,2476,26,26
1516,2.0,77,Finland,Helsinki,Healthcare,True,M,Kyostila,Heikki,1946,112.33,1.0,268761201365,88.2%,100.2%,81.7,5520314,2476,7,7
1516,2.0,57,China,Fuzhou,Technology,True,M,Li,Min,1965,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1516,2.0,40,China,Beijing,Technology,True,M,Liang,Rubo,1983,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1516,2.0,58,China,Foshan,Manufacturing,False,M,Liang,Zhaoxian,1965,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1516,2.0,61,China,Linyi,Energy,True,M,Lin,Fanlian,1961,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1516,2.0,64,Thailand,Bangkok,Manufacturing,False,M,Lohia,Aloke,1958,113.27,0.7,543649976166,49.3%,99.8%,76.9,69625582,2476,28,28
1516,2.0,73,Canada,Ottawa,Real Estate,True,M,Malhotra,Bill,1949,116.76,1.9,1736425629520,68.9%,100.9%,81.9,36991981,2476,42,42
1516,2.0,63,Israel,Tel Aviv,Finance & Investments,True,M,Mamut,Alexander,1960,108.15,0.8,395098666122,63.4%,104.9%,82.8,9053300,2476,26,26
1516,2.0,73,United States,Hunts Point,Telecom,False,M,McCaw,Craig,1949,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1516,2.0,59,China,Wenzhou,Manufacturing,True,M,Nan,Cunhui,1963,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1516,2.0,47,China,Shanghai,Service,True,M,Nie,Tengyun,1976,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1516,2.0,75,Singapore,Singapore,Finance & Investments,False,M,Oei,Hong Leong,1948,114.41,0.6,372062527489,84.8%,100.6%,83.1,5703569,2476,46,46
1516,2.0,69,Australia,Brisbane,Metals & Mining,True,M,Palmer,Clive,1954,119.8,1.6,1392680589329,113.1%,100.3%,82.7,25766605,2476,43,43
1516,2.0,48,United States,Park City,Technology,True,M,Prince,Matthew,1975,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1516,2.0,69,United States,Missoula,Service,False,F,Pritzker,Linda,1953,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1516,2.0,53,India,Hyderabad,Construction & Engineering,True,M,Reddy,P.V. Krishna,1969,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
1516,2.0,46,Australia,Brisbane,Metals & Mining,False,F,Rinehart,Bianca,1977,119.8,1.6,1392680589329,113.1%,100.3%,82.7,25766605,2476,43,43
1516,2.0,36,Australia,Sydney,Metals & Mining,False,F,Rinehart,Ginia,1986,119.8,1.6,1392680589329,113.1%,100.3%,82.7,25766605,2476,43,43
1516,2.0,87,United States,Sioux Falls,Finance & Investments,True,M,Sanford,T. Denny,1935,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1516,2.0,71,India,Ahmedabad,Manufacturing,True,M,Shah,Bhadresh,1951,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
1516,2.0,66,Poland,Warsaw,Media & Entertainment,True,M,Solorz-Zak,Zygmunt,1956,114.11,2.2,592164400688,67.8%,100.0%,77.6,37970874,2476,5,5
1516,2.0,67,Germany,Darmstadt,Fashion & Retail,False,F,Stroeher,Sylvia,1955,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
1516,2.0,69,Indonesia,Jakarta,Technology,True,M,Sugiri,Otto Toto,1953,151.18,3.0,1119190780753,36.3%,106.4%,71.5,270203917,2476,25,25
1516,2.0,77,Canada,Toronto,Sports,True,M,Tanenbaum,Larry,1945,116.76,1.9,1736425629520,68.9%,100.9%,81.9,36991981,2476,42,42
1516,2.0,76,Thailand,Bangkok,Finance & Investments,True,M,Thongtang,Wichai,1947,113.27,0.7,543649976166,49.3%,99.8%,76.9,69625582,2476,28,28
1516,2.0,83,Romania,Bucharest,Finance & Investments,True,M,Tiriac,Ion,1939,123.78,3.8,250077444017,49.4%,85.2%,75.4,19356544,2476,3,3
1516,2.0,37,United States,New York,Metals & Mining,False,F,Welker,Hope,1985,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1516,2.0,82,United States,Ypsilanti,Manufacturing,True,M,Young,William,1941,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1516,2.0,57,China,Shenzhen,Technology,True,M,Zhang,Fan,1965,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1516,2.0,57,China,Beijing,Technology,True,M,Zhang,Shilong,1966,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1516,2.0,73,China,Chaozhou,Manufacturing,True,M,Zhang,Wanzhen,1949,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1516,2.0,48,China,Beijing,Technology,True,M,Zhao,Hongfei,1974,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1516,2.0,46,China,Shenzhen,Energy,True,M,Zhou,Jian,1976,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1516,2.0,59,China,Shanghai,Healthcare,True,M,Zhu,Yiwen,1964,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1575,1.9,74,Chile,Santiago,Diversified,False,M,Angelini Rossi,Roberto,1948,131.91,2.6,282318159745,88.5%,101.4%,80.0,18952038,2476,6,6
1575,1.9,56,Finland,Helsinki,Energy,True,M,Anttonen,Mika,1966,112.33,1.0,268761201365,88.2%,100.2%,81.7,5520314,2476,7,7
1575,1.9,53,United States,New York,Sports,True,M,Blitzer,David,1969,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1575,1.9,87,Brazil,Rio de Janeiro,Finance & Investments,True,M,Bozano,Julio,1936,167.4,3.7,1839758040766,51.3%,115.4%,75.7,212559417,2476,44,44
1575,1.9,55,Russia,Irkutsk,Energy,True,M,Buinov,Nikolai,1967,180.75,4.5,1699876578871,81.9%,102.6%,72.7,144373535,2476,79,79
1575,1.9,82,Italy,Rome,Fashion & Retail,False,M,Bulgari,Nicola,1941,110.62,0.6,2001244392042,61.9%,101.9%,82.9,60297396,2476,55,55
1575,1.9,71,United States,San Antonio,Fashion & Retail,False,M,Butt,Howard,1952,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1575,1.9,56,China,Shanghai,Fashion & Retail,True,M,Che,Jianxing,1966,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1575,1.9,52,China,Shanghai,Manufacturing,True,M,Chen,Huxiong,1970,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1575,1.9,64,China,Ningde,Energy,True,F,Chen,Qiongxiang,0,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1575,1.9,57,China,Xiamen,Technology,True,M,Chen,Zhisong,1966,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1575,1.9,64,Thailand,Bangkok,Diversified,False,M,Chiaravanond,Manas,0,113.27,0.7,543649976166,49.3%,99.8%,76.9,69625582,2476,28,28
1575,1.9,74,Thailand,Bangkok,Diversified,False,M,Chiravanond,Prathip,1948,113.27,0.7,543649976166,49.3%,99.8%,76.9,69625582,2476,28,28
1575,1.9,60,United States,Old Lyme,Food & Beverage,False,F,Daitch,Alexandra,1963,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1575,1.9,57,Spain,Madrid,Food & Beverage,False,F,Daurella,Sol,1966,110.96,0.7,1394116310769,88.9%,102.7%,83.3,47076781,2476,25,25
1575,1.9,67,United States,Henderson,Sports,False,M,Davis,Mark,1955,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1575,1.9,63,United States,North Salem,Finance & Investments,True,M,Dinan,James,1959,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1575,1.9,53,China,Zhuhai,Healthcare,True,M,Dong,Fan,0,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1575,1.9,64,Germany,Landshut,Automotive,False,M,Draexlmaier,Fritz,0,112.85,1.4,3845630030824,70.2%,104.0%,80.9,83132799,2476,102,102
1575,1.9,73,Turkey,Istanbul,Diversified,False,M,Eczacibasi,Bulent,1949,234.44,15.2,754411708203,23.9%,93.2%,77.4,83429615,2476,25,25
1575,1.9,68,Turkey,Istanbul,Diversified,False,M,Eczacibasi,Faruk,1954,234.44,15.2,754411708203,23.9%,93.2%,77.4,83429615,2476,25,25
1575,1.9,90,Argentina,Buenos Aires,Diversified,True,M,Eurnekian,Eduardo,1932,232.75,53.5,449663446954,90.0%,109.7%,76.5,44938712,2476,4,4
1575,1.9,59,China,Kunming,Fashion & Retail,True,M,Guo,Zhenyu,1963,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1575,1.9,81,India,Delhi,Manufacturing,False,M,Gupta,Surjit Kumar,1942,180.44,7.7,2611000000000,28.1%,113.0%,69.4,1366417754,2476,157,157
1575,1.9,39,Switzerland,Wollerau,Diversified,False,F,Hagen Kjos,Caroline,1984,99.55,0.4,703082435360,59.6%,105.2%,83.6,8574832,2476,78,78
1575,1.9,81,Mexico,Mexico City,Finance & Investments,True,M,Hernandez Ramirez,Roberto,1942,141.54,3.6,1258286717125,40.2%,105.8%,75.0,126014024,2476,13,13
1575,1.9,55,United States,Palo Alto,Technology,True,M,Hoffman,Reid,1967,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1575,1.9,64,China,Jinhua,Manufacturing,True,M,Hu,Rongda,1959,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1575,1.9,63,United States,Jackson,Real Estate,False,M,Hughes,B. Wayne,1959,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1575,1.9,64,United States,Naples,Finance & Investments,True,M,Kapnick,Scott,1959,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1575,1.9,77,United States,Santa Monica,Finance & Investments,True,M,Kayne,Richard,1946,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1575,1.9,45,United Kingdom,London,Finance & Investments,False,F,Kulczyk,Dominika,1977,119.62,1.7,2827113184696,60.0%,101.2%,81.3,66834405,2476,82,82
1575,1.9,60,United States,Miami Beach,Finance & Investments,True,M,Lampert,Edward,1962,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1575,1.9,64,Thailand,Bangkok,Diversified,False,M,Lamsam,Somsri,0,113.27,0.7,543649976166,49.3%,99.8%,76.9,69625582,2476,28,28
1575,1.9,85,United States,Indian Hills,Food & Beverage,False,M,Leprino,James,1937,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1575,1.9,61,United States,Monsey,Real Estate,True,M,Lichtenstein,David,1961,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1575,1.9,56,China,Beijing,Real Estate,True,M,Lin,Dingqiang,1966,125.08,2.9,19910000000000,50.6%,100.2%,77.0,1397715000,2476,523,523
1575,1.9,69,United States,Los Angeles,Food & Beverage,False,F,MacMillan,Sarah,1954,117.24,7.5,21427700000000,88.2%,101.8%,78.5,328239523,2476,754,754
1575,1.9,62,United Kingdom,London,Telecom,True,M,Masiyiwa,Strive,1961,119.62,1.7,2827113184696,60.0%,101.2%,81.3,66834405,2476,82,82
1575,1.9,55,United Kingdom,"St. Brelade, Jersey",Technology,True,M,Nixon,Simon,1967,119.62,1.7,2827113184696,60.0%,101.2%,81.3,66834405,2476,82,82
